"expedition_id","member_id","success","year","season","age","expedition_role","oxygen_used"
"AMAD81101","AMAD81101-03",TRUE,1981,"Spring",28,"Climber",FALSE
"AMAD81101","AMAD81101-04",TRUE,1981,"Spring",27,"Exp Doctor",FALSE
"AMAD81101","AMAD81101-02",TRUE,1981,"Spring",35,"Deputy Leader",FALSE
"AMAD81101","AMAD81101-05",TRUE,1981,"Spring",37,"Climber",FALSE
"AMAD81101","AMAD81101-06",TRUE,1981,"Spring",43,"Climber",FALSE
"AMAD81101","AMAD81101-07",FALSE,1981,"Spring",38,"Climber",FALSE
"AMAD81101","AMAD81101-08",TRUE,1981,"Spring",23,"Climber",FALSE
"AMAD81101","AMAD81101-01",FALSE,1981,"Spring",36,"Leader",FALSE
"AMAD81101","AMAD81101-09",TRUE,1981,"Spring",48,"Climber",FALSE
"AMAD81101","AMAD81101-11",TRUE,1981,"Spring",25,"H-A Worker",FALSE
"AMAD81101","AMAD81101-12",TRUE,1981,"Spring",26,"H-A Worker",FALSE
"AMAD81101","AMAD81101-10",TRUE,1981,"Spring",21,"H-A Worker",FALSE
"AMAD84401","AMAD84401-01",FALSE,1984,"Winter",29,"Leader",FALSE
"AMAD84401","AMAD84401-03",FALSE,1984,"Winter",28,"Climber",FALSE
"AMAD84401","AMAD84401-04",FALSE,1984,"Winter",27,"Climber",FALSE
"AMAD84401","AMAD84401-05",FALSE,1984,"Winter",28,"Climber",FALSE
"AMAD84401","AMAD84401-02",FALSE,1984,"Winter",33,"Deputy Leader",FALSE
"AMAD84401","AMAD84401-06",FALSE,1984,"Winter",27,"Climber",FALSE
"AMAD89102","AMAD89102-02",FALSE,1989,"Spring",41,"Climber",FALSE
"AMAD89102","AMAD89102-01",FALSE,1989,"Spring",38,"Leader",FALSE
"AMAD89102","AMAD89102-03",FALSE,1989,"Spring",42,"Climber",FALSE
"AMAD89102","AMAD89102-05",FALSE,1989,"Spring",42,"Climber",FALSE
"AMAD89102","AMAD89102-04",FALSE,1989,"Spring",29,"Climber",FALSE
"AMAD89102","AMAD89102-06",FALSE,1989,"Spring",25,"Climber",FALSE
"AMAD93304","AMAD93304-03",FALSE,1993,"Autumn",35,"Climber",FALSE
"AMAD93304","AMAD93304-04",FALSE,1993,"Autumn",33,"Climber",FALSE
"AMAD93304","AMAD93304-05",FALSE,1993,"Autumn",52,"Climber",FALSE
"AMAD93304","AMAD93304-01",TRUE,1993,"Autumn",36,"Leader",FALSE
"AMAD93304","AMAD93304-06",TRUE,1993,"Autumn",27,"Climber",FALSE
"AMAD93304","AMAD93304-02",TRUE,1993,"Autumn",42,"Deputy Leader",FALSE
"ANN179301","ANN179301-03",FALSE,1979,"Autumn",41,"Climber",FALSE
"ANN179301","ANN179301-04",FALSE,1979,"Autumn",34,"Exp Doctor",FALSE
"ANN179301","ANN179301-02",FALSE,1979,"Autumn",34,"Deputy Leader",FALSE
"ANN179301","ANN179301-05",FALSE,1979,"Autumn",40,"Climber",FALSE
"ANN179301","ANN179301-06",FALSE,1979,"Autumn",25,"Climber",FALSE
"ANN179301","ANN179301-07",FALSE,1979,"Autumn",33,"Climber",FALSE
"ANN179301","ANN179301-08",FALSE,1979,"Autumn",24,"Climber",FALSE
"ANN179301","ANN179301-01",FALSE,1979,"Autumn",39,"Leader",FALSE
"ANN185401","ANN185401-03",FALSE,1985,"Winter",47,"Climber",FALSE
"ANN185401","ANN185401-04",FALSE,1985,"Winter",34,"Climber",FALSE
"ANN185401","ANN185401-01",FALSE,1985,"Winter",34,"Leader",FALSE
"ANN185401","ANN185401-05",FALSE,1985,"Winter",24,"Climber",FALSE
"ANN185401","ANN185401-07",FALSE,1985,"Winter",30,"Climber",FALSE
"ANN185401","ANN185401-06",FALSE,1985,"Winter",28,"Climber",FALSE
"ANN185401","ANN185401-08",FALSE,1985,"Winter",51,"Exp Doctor",FALSE
"ANN185401","ANN185401-09",FALSE,1985,"Winter",28,"Climber",FALSE
"ANN185401","ANN185401-10",FALSE,1985,"Winter",29,"Climber",FALSE
"ANN185401","ANN185401-11",FALSE,1985,"Winter",36,"Exp Doctor",FALSE
"ANN185401","ANN185401-12",FALSE,1985,"Winter",43,"Climber",FALSE
"ANN185401","ANN185401-13",FALSE,1985,"Winter",32,"Climber",FALSE
"ANN185401","ANN185401-16",FALSE,1985,"Winter",34,"Climber",FALSE
"ANN185401","ANN185401-14",FALSE,1985,"Winter",26,"Climber",FALSE
"ANN185401","ANN185401-15",FALSE,1985,"Winter",26,"Climber",FALSE
"ANN185401","ANN185401-02",FALSE,1985,"Winter",38,"Deputy Leader",FALSE
"ANN190101","ANN190101-03",FALSE,1990,"Spring",28,"Climber",FALSE
"ANN190101","ANN190101-01",FALSE,1990,"Spring",36,"Leader",FALSE
"ANN190101","ANN190101-02",FALSE,1990,"Spring",36,"Deputy Leader",FALSE
"ANN190101","ANN190101-04",FALSE,1990,"Spring",28,"Climber",FALSE
"ANN190101","ANN190101-05",FALSE,1990,"Spring",49,"Climber",FALSE
"ANN190101","ANN190101-06",FALSE,1990,"Spring",35,"Climber",FALSE
"ANN190101","ANN190101-07",FALSE,1990,"Spring",28,"Climber",FALSE
"ANN190101","ANN190101-08",FALSE,1990,"Spring",33,"Climber",FALSE
"ANN193302","ANN193302-03",FALSE,1993,"Autumn",30,"Climber",FALSE
"ANN193302","ANN193302-04",FALSE,1993,"Autumn",25,"Climber",FALSE
"ANN193302","ANN193302-05",FALSE,1993,"Autumn",28,"Climber",FALSE
"ANN193302","ANN193302-06",FALSE,1993,"Autumn",29,"Climber",FALSE
"ANN193302","ANN193302-07",FALSE,1993,"Autumn",32,"Exp Doctor",FALSE
"ANN193302","ANN193302-08",FALSE,1993,"Autumn",35,"Climber",FALSE
"ANN193302","ANN193302-02",FALSE,1993,"Autumn",33,"Deputy Leader",FALSE
"ANN193302","ANN193302-09",FALSE,1993,"Autumn",27,"Climber",FALSE
"ANN193302","ANN193302-01",FALSE,1993,"Autumn",26,"Leader",FALSE
"ANN281302","ANN281302-01",FALSE,1981,"Autumn",52,"Leader",FALSE
"ANN281302","ANN281302-03",FALSE,1981,"Autumn",52,"Exp Doctor",FALSE
"ANN281302","ANN281302-04",FALSE,1981,"Autumn",54,"Climber",FALSE
"ANN281302","ANN281302-05",FALSE,1981,"Autumn",32,"Climber",FALSE
"ANN281302","ANN281302-06",FALSE,1981,"Autumn",27,"Exp Doctor",FALSE
"ANN281302","ANN281302-02",FALSE,1981,"Autumn",42,"Climbing Leader",FALSE
"ANN281302","ANN281302-07",FALSE,1981,"Autumn",58,"Climber",FALSE
"ANN281302","ANN281302-08",FALSE,1981,"Autumn",54,"Radio Operator",FALSE
"ANN281302","ANN281302-09",FALSE,1981,"Autumn",21,"Climber",FALSE
"ANN281302","ANN281302-10",FALSE,1981,"Autumn",35,"Climber",FALSE
"ANN281302","ANN281302-11",FALSE,1981,"Autumn",21,"Climber",FALSE
"ANN281302","ANN281302-12",FALSE,1981,"Autumn",30,"Climber",FALSE
"ANN281302","ANN281302-13",FALSE,1981,"Autumn",31,"Climber",FALSE
"ANN281302","ANN281302-14",FALSE,1981,"Autumn",40,"Climber",FALSE
"ANN281302","ANN281302-15",FALSE,1981,"Autumn",24,"Climber",FALSE
"ANN281302","ANN281302-16",FALSE,1981,"Autumn",38,"Climber",FALSE
"ANN281302","ANN281302-17",FALSE,1981,"Autumn",37,"Climber",FALSE
"ANN281302","ANN281302-18",FALSE,1981,"Autumn",31,"Climber",FALSE
"ANN281302","ANN281302-19",FALSE,1981,"Autumn",38,"Climber",FALSE
"ANN283302","ANN283302-04",FALSE,1983,"Autumn",26,"Climber",FALSE
"ANN283302","ANN283302-03",FALSE,1983,"Autumn",29,"Photographer",FALSE
"ANN283302","ANN283302-01",FALSE,1983,"Autumn",29,"Leader",FALSE
"ANN283302","ANN283302-05",FALSE,1983,"Autumn",24,"Climber",FALSE
"ANN283302","ANN283302-06",FALSE,1983,"Autumn",30,"Journalist",FALSE
"ANN283302","ANN283302-02",FALSE,1983,"Autumn",29,"Deputy Leader",FALSE
"ANN378301","ANN378301-03",FALSE,1978,"Autumn",30,"Exp Doctor",FALSE
"ANN378301","ANN378301-04",FALSE,1978,"Autumn",36,"Climber",FALSE
"ANN378301","ANN378301-09",FALSE,1978,"Autumn",31,"Climber",FALSE
"ANN378301","ANN378301-10",FALSE,1978,"Autumn",29,"Exp Photographer",FALSE
"ANN378301","ANN378301-12",FALSE,1978,"Autumn",31,"Climber",FALSE
"ANN378301","ANN378301-14",FALSE,1978,"Autumn",22,"Climber",FALSE
"ANN378301","ANN378301-01",FALSE,1978,"Autumn",23,"Leader",FALSE
"ANN378301","ANN378301-02",FALSE,1978,"Autumn",18,"Climber",FALSE
"ANN378301","ANN378301-05",FALSE,1978,"Autumn",28,"Member",FALSE
"ANN378301","ANN378301-06",FALSE,1978,"Autumn",23,"Member",FALSE
"ANN378301","ANN378301-07",FALSE,1978,"Autumn",19,"Member",FALSE
"ANN378301","ANN378301-08",FALSE,1978,"Autumn",39,"Member",FALSE
"ANN378301","ANN378301-11",FALSE,1978,"Autumn",37,"Member",FALSE
"ANN378301","ANN378301-13",FALSE,1978,"Autumn",32,"Member",FALSE
"BARU92301","BARU92301-03",FALSE,1992,"Autumn",44,"Climber",FALSE
"BARU92301","BARU92301-04",FALSE,1992,"Autumn",30,"Climber",FALSE
"BARU92301","BARU92301-05",FALSE,1992,"Autumn",41,"Exp Doctor",FALSE
"BARU92301","BARU92301-06",TRUE,1992,"Autumn",39,"Climber",FALSE
"BARU92301","BARU92301-02",FALSE,1992,"Autumn",28,"Deputy Leader",FALSE
"BARU92301","BARU92301-07",TRUE,1992,"Autumn",54,"Climber",FALSE
"BARU92301","BARU92301-08",TRUE,1992,"Autumn",38,"Climber",FALSE
"BARU92301","BARU92301-09",TRUE,1992,"Autumn",26,"Climber",FALSE
"BARU92301","BARU92301-01",TRUE,1992,"Autumn",41,"Leader",FALSE
"BARU94301","BARU94301-02",FALSE,1994,"Autumn",29,"Climber",FALSE
"BARU94301","BARU94301-03",FALSE,1994,"Autumn",32,"Climber",FALSE
"BARU94301","BARU94301-04",FALSE,1994,"Autumn",33,"Climber",FALSE
"BARU94301","BARU94301-01",FALSE,1994,"Autumn",27,"Leader",FALSE
"BARU94301","BARU94301-05",FALSE,1994,"Autumn",33,"Climber",FALSE
"BARU94307","BARU94307-02",FALSE,1994,"Autumn",25,"Climber",FALSE
"BARU94307","BARU94307-03",FALSE,1994,"Autumn",41,"Climber",FALSE
"BARU94307","BARU94307-04",FALSE,1994,"Autumn",26,"Climber",FALSE
